date,ticker,open,high,low,close,volume,atr,active_side_asof,last_confirmed_side_asof,market_bias_asof,market_bias_after_close,bos_up_on_close_flag,bos_down_on_close_flag,choch_up_on_close_flag,choch_down_on_close_flag,choch_any_on_close_flag,bos_any_on_close_flag,structure_break_event_on_close,structure_break_level_kind_on_close,structure_break_level_value_on_close,structure_break_threshold_on_close,high_break_attempt_on_close_flag,low_break_attempt_on_close_flag,confirmed_high_on_close_flag,confirmed_low_on_close_flag,confirmed_high_label_on_close,confirmed_low_label_on_close,confirmed_high_value_on_close,confirmed_low_value_on_close,confirmed_high_swing_date_on_close,confirmed_low_swing_date_on_close,confirmed_high_bars_to_confirmation_on_close,confirmed_low_bars_to_confirmation_on_close,confirmation_event_on_close,high_candidate_value_asof,high_candidate_date_asof,high_candidate_bars_active_asof,high_candidate_confluence_count_asof,high_candidate_confluence_short_hits_asof,high_candidate_confluence_long_hits_asof,high_candidate_breaks_structure_asof,high_confirmed_value_asof,high_confirmed_swing_date_asof,high_confirmed_available_on_asof,high_confirmed_structure_label_asof,high_confirmed_breaks_structure_asof,low_candidate_value_asof,low_candidate_date_asof,low_candidate_bars_active_asof,low_candidate_confluence_count_asof,low_candidate_confluence_short_hits_asof,low_candidate_confluence_long_hits_asof,low_candidate_breaks_structure_asof,low_confirmed_value_asof,low_confirmed_swing_date_asof,low_confirmed_available_on_asof,low_confirmed_structure_label_asof,low_confirmed_breaks_structure_asof
2021-09-25 23:59:59.999000+00:00,BTC/USDT,42798.49,42950.0,41630.26,42651.58,277084.795,2576.2835714285716,high,low,bearish,bearish,False,False,False,False,False,False,,,,,False,False,True,False,LH,,48850.0,,2021-09-18 23:59:59.999000+00:00,,7.0,,confirmed_high,48850.0,2021-09-18 23:59:59.999000+00:00,6,4,4,0,False,52830.0,2021-09-06 23:59:59.999000+00:00,2021-09-09 23:59:59.999000+00:00,HH,True,,,0,0,0,0,False,43323.93,2021-09-13 23:59:59.999000+00:00,2021-09-16 23:59:59.999000+00:00,LL,True
2021-09-26 23:59:59.999000+00:00,BTC/USDT,42646.84,43940.0,40725.01,43150.0,354393.916,2679.8050000000003,low,high,bearish,bearish,False,False,False,False,False,False,,,,,False,True,False,False,,,,,,,,,,,,0,0,0,0,False,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,41630.26,2021-09-25 23:59:59.999000+00:00,0,2,2,0,True,43323.93,2021-09-13 23:59:59.999000+00:00,2021-09-16 23:59:59.999000+00:00,LL,True
2021-09-27 23:59:59.999000+00:00,BTC/USDT,43150.01,44350.0,42059.13,42122.69,285311.606,2585.584285714286,low,high,bearish,bearish,False,True,False,False,False,True,bos_down,low,43323.93,904.9545,False,False,False,False,,,,,,,,,,,,0,0,0,0,False,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,40725.01,2021-09-26 23:59:59.999000+00:00,0,5,5,0,True,43323.93,2021-09-13 23:59:59.999000+00:00,2021-09-16 23:59:59.999000+00:00,LL,True
2021-09-28 23:59:59.999000+00:00,BTC/USDT,42122.69,42749.0,40854.0,41006.32,359745.538,2536.6500000000005,low,high,bearish,bearish,False,True,False,False,False,True,bos_down,low,43323.93,887.8275000000001,False,False,False,False,,,,,,,,,,,,0,0,0,0,False,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,40725.01,2021-09-26 23:59:59.999000+00:00,1,5,5,0,True,43323.93,2021-09-13 23:59:59.999000+00:00,2021-09-16 23:59:59.999000+00:00,LL,True
2021-09-29 23:59:59.999000+00:00,BTC/USDT,41002.96,42576.8,40708.73,41499.71,293307.589,2543.9457142857145,low,high,bearish,bearish,False,True,False,False,False,True,bos_down,low,43323.93,890.3810000000001,False,False,False,False,,,,,,,,,,,,0,0,0,0,False,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,40725.01,2021-09-26 23:59:59.999000+00:00,2,5,5,0,True,43323.93,2021-09-13 23:59:59.999000+00:00,2021-09-16 23:59:59.999000+00:00,LL,True
2021-09-30 23:59:59.999000+00:00,BTC/USDT,41499.7,44100.0,41387.78,43796.57,389185.646,2634.119285714286,low,high,bearish,bearish,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,,,0,0,0,0,False,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,40725.01,2021-09-26 23:59:59.999000+00:00,3,5,5,0,True,43323.93,2021-09-13 23:59:59.999000+00:00,2021-09-16 23:59:59.999000+00:00,LL,True
2021-10-01 23:59:59.999000+00:00,BTC/USDT,43799.49,48450.0,43260.01,48123.94,449491.768,2904.8328571428574,low,high,bearish,bearish,False,False,False,False,False,False,,,,,False,False,False,True,,LL,,40725.01,,2021-09-26 23:59:59.999000+00:00,,5.0,confirmed_low,,,0,0,0,0,False,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,40725.01,2021-09-26 23:59:59.999000+00:00,4,5,5,0,True,43323.93,2021-09-13 23:59:59.999000+00:00,2021-09-16 23:59:59.999000+00:00,LL,True
2021-10-02 23:59:59.999000+00:00,BTC/USDT,48123.93,48338.68,47410.0,47626.61,182565.988,2842.19,high,low,bearish,bearish,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,48450.0,2021-10-01 23:59:59.999000+00:00,0,4,4,0,False,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-03 23:59:59.999000+00:00,BTC/USDT,47626.62,49304.12,47071.26,48187.3,212410.375,2892.777142857143,high,low,bearish,bearish,False,False,False,False,False,False,,,,,True,False,False,False,,,,,,,,,,48450.0,2021-10-01 23:59:59.999000+00:00,1,4,4,0,False,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-04 23:59:59.999000+00:00,BTC/USDT,48187.99,49544.48,46885.29,49198.22,324424.837,2734.3521428571435,high,low,bearish,bearish,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,49304.12,2021-10-03 23:59:59.999000+00:00,0,4,4,0,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
