kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
high,2022-05-26 23:59:59.999000+00:00,2022-05-15 23:59:59.999000+00:00,31462.0,406,11,2115.6696428571436,3509.9000000000015,2268.0,close,forced_maturity,LH,False,40071.7,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2022-06-10 23:59:59.999000+00:00,2022-06-06 23:59:59.999000+00:00,31780.0,428,4,1829.321428571429,2975.0,2702.2999999999993,close,confluence,HH,True,31462.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2022-06-30 23:59:59.999000+00:00,2022-06-21 23:59:59.999000+00:00,21740.0,443,9,1731.7946428571427,3177.0,1816.5,close,forced_maturity,LH,False,31780.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2022-07-11 23:59:59.999000+00:00,2022-07-08 23:59:59.999000+00:00,22579.9,460,3,1419.5446428571436,2709.9000000000015,2625.600000000002,close,confluence,HH,True,21740.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,2,2.0,9,high,False,False
high,2022-07-23 23:59:59.999000+00:00,2022-07-20 23:59:59.999000+00:00,24277.0,472,3,1564.8749999999998,2343.5,1836.7999999999993,close,confluence,HH,True,22579.9,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2022-08-18 23:59:59.999000+00:00,2022-08-15 23:59:59.999000+00:00,25200.0,498,3,1161.5089285714291,2099.0,2014.9000000000015,close,confluence,HH,True,24277.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2022-09-20 23:59:59.999000+00:00,2022-09-13 23:59:59.999000+00:00,22850.0,527,7,1338.0178571428569,4159.9000000000015,3983.2000000000007,close,forced_maturity,LH,False,25200.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
high,2022-10-11 23:59:59.999000+00:00,2022-10-04 23:59:59.999000+00:00,20500.0,548,7,845.5892857142856,1650.0,1445.0,close,forced_maturity,LH,False,22850.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2022-11-02 23:59:59.999000+00:00,2022-10-26 23:59:59.999000+00:00,21030.0,570,7,775.7767857142858,980.0,889.9000000000015,close,confluence,HH,True,20500.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2022-12-21 23:59:59.999000+00:00,2022-12-14 23:59:59.999000+00:00,18400.0,619,7,616.9196428571429,1705.7999999999993,1580.4000000000015,close,forced_maturity,LH,False,21030.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
high,2023-02-05 23:59:59.999000+00:00,2023-02-02 23:59:59.999000+00:00,24281.4,669,3,997.7321428571438,1540.4000000000015,1352.2000000000007,close,confluence,HH,True,18400.0,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
high,2023-02-24 23:59:59.999000+00:00,2023-02-21 23:59:59.999000+00:00,25347.6,688,3,1358.3124999999998,2547.5999999999985,2172.0,close,confluence,HH,True,24281.4,7,5,2,True,"1,3,7,10,30,90,180","[1, 3, 7, 10, 30, 90, 180]",180,45.857142857142854,global,4,2,2.0,15,critical,True,True
high,2023-03-27 23:59:59.999000+00:00,2023-03-22 23:59:59.999000+00:00,28881.0,717,5,1913.5357142857151,2401.0,1769.0,wick_override,confluence,HH,True,25347.6,7,5,2,True,"1,3,7,10,30,90,180","[1, 3, 7, 10, 30, 90, 180]",180,45.857142857142854,global,4,2,2.0,15,critical,True,True
high,2023-04-17 23:59:59.999000+00:00,2023-04-14 23:59:59.999000+00:00,31059.0,740,3,998.0803571428571,1839.0999999999985,1639.0,close,confluence,HH,True,28881.0,8,5,3,True,"1,3,7,10,30,90,180,300","[1, 3, 7, 10, 30, 90, 180, 300]",300,77.625,global,4,2,2.0,16,critical,True,True
high,2023-05-13 23:59:59.999000+00:00,2023-05-06 23:59:59.999000+00:00,29840.0,762,7,1339.2678571428569,3165.0999999999985,3077.2999999999993,close,forced_maturity,LH,False,31059.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2023-06-05 23:59:59.999000+00:00,2023-05-29 23:59:59.999000+00:00,28442.0,785,7,1062.2589285714291,3081.9000000000015,2727.2999999999993,close,forced_maturity,LH,False,29840.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2023-06-16 23:59:59.999000+00:00,2023-06-09 23:59:59.999000+00:00,26775.0,796,7,1238.973214285715,1632.9000000000015,439.0,wick_override,forced_maturity,LH,False,28442.0,3,3,0,False,"1,3,7","[1, 3, 7]",7,3.6666666666666665,local,1,0,1.0,5,low,False,False
