kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
low,2022-03-20 23:59:59.999000+00:00,2022-03-13 23:59:59.999000+00:00,37500.0,343,7,2610.1696428571445,4769.300000000003,3761.0,close,forced_maturity,HL,False,34303.7,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2022-05-04 23:59:59.999000+00:00,2022-05-01 23:59:59.999000+00:00,37350.0,392,3,2204.732142857142,2721.699999999997,2334.0,close,confluence,EQL,True,37500.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,1.0,10,high,False,True
low,2022-05-15 23:59:59.999000+00:00,2022-05-12 23:59:59.999000+00:00,26631.0,403,3,3166.178571428572,4831.0,4693.4000000000015,close,confluence,LL,True,37350.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
low,2022-06-02 23:59:59.999000+00:00,2022-05-26 23:59:59.999000+00:00,27952.1,417,7,1849.6160714285722,2797.9000000000015,2485.0,close,forced_maturity,HL,False,26631.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2022-06-21 23:59:59.999000+00:00,2022-06-18 23:59:59.999000+00:00,17593.2,440,3,2708.4285714285716,4146.799999999999,3119.899999999998,close,confluence,LL,True,27952.1,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
low,2022-07-07 23:59:59.999000+00:00,2022-06-30 23:59:59.999000+00:00,18563.0,452,7,1373.7767857142858,3267.0,3050.4000000000015,close,forced_maturity,HL,False,17593.2,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2022-07-20 23:59:59.999000+00:00,2022-07-13 23:59:59.999000+00:00,18901.0,465,7,1589.232142857143,5376.0,4320.5,close,forced_maturity,HL,False,18563.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
low,2022-08-02 23:59:59.999000+00:00,2022-07-26 23:59:59.999000+00:00,20689.6,478,7,1429.0357142857142,2759.100000000002,2285.5,close,forced_maturity,HL,False,18901.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2022-09-10 23:59:59.999000+00:00,2022-09-07 23:59:59.999000+00:00,18500.0,521,3,1073.1071428571424,3325.0,3139.5,close,confluence,LL,True,20689.6,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2022-09-27 23:59:59.999000+00:00,2022-09-21 23:59:59.999000+00:00,18084.3,535,6,1204.9821428571424,2290.7000000000007,985.7999999999993,wick_override,confluence,LL,True,18500.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
low,2022-10-16 23:59:59.999000+00:00,2022-10-13 23:59:59.999000+00:00,17917.8,557,3,784.214285714286,1498.1000000000022,1334.1000000000022,close,confluence,LL,True,18084.3,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
low,2022-11-23 23:59:59.999000+00:00,2022-11-09 23:59:59.999000+00:00,15462.6,584,14,1021.5178571428579,1240.800000000001,1133.199999999999,close,confluence,LL,True,17917.8,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
low,2023-01-06 23:59:59.999000+00:00,2022-12-30 23:59:59.999000+00:00,16320.0,635,7,285.6607142857141,710.0,623.7999999999993,close,forced_maturity,HL,False,15462.6,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
