window,category,symbol,direction,signal_date,entry_time,exit_time,hold_hours,entry_price,exit_price,tp_price,sl_price,tp_pct,sl_pct,exit_reason,resolution_level,pnl_pct,gross_pnl_pct,fee_drag_pct,leverage,size_multiplier,max_holding_hours,metadata
OOS2_BULL25,oos2,LINK/USDT,LONG,2025-05-10T12:14:59.999000+00:00,2025-05-10T12:15:14.999000+00:00,2025-05-10T17:44:59.999000+00:00,5.5,16.323,16.992243,16.992243,16.012863,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 18.21, ""rsi"": 54.29, ""atr_ratio"": 1.056, ""pullback_depth"": 0.355, ""mom_slope"": 0.004514, ""reclaim_strength"": 1.966}"
OOS2_BULL25,oos2,ENA/USDT,LONG,2025-05-10T12:14:59.999000+00:00,2025-05-10T12:15:14.999000+00:00,2025-05-10T17:44:59.999000+00:00,5.5,0.3767,0.39214469999999996,0.39214469999999996,0.36954269999999995,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 39.27, ""rsi"": 52.54, ""atr_ratio"": 1.099, ""pullback_depth"": 0.473, ""mom_slope"": 0.000175, ""reclaim_strength"": 0.599}"
OOS2_BULL25,oos2,NEAR/USDT,LONG,2025-05-10T12:14:59.999000+00:00,2025-05-10T12:15:14.999000+00:00,2025-05-10T19:44:59.999000+00:00,7.5,2.954,3.075114,3.075114,2.8978740000000003,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 27.09, ""rsi"": 53.32, ""atr_ratio"": 1.125, ""pullback_depth"": 0.332, ""mom_slope"": 0.001405, ""reclaim_strength"": 0.763}"
OOS2_BULL25,oos2,ALGO/USDT,LONG,2025-05-10T12:14:59.999000+00:00,2025-05-10T12:15:14.999000+00:00,2025-05-10T22:59:59.999000+00:00,10.75,0.2373,0.2470293,0.2470293,0.2327913,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 19.12, ""rsi"": 54.22, ""atr_ratio"": 1.158, ""pullback_depth"": 0.224, ""mom_slope"": 6.7e-05, ""reclaim_strength"": 1.616}"
OOS2_BULL25,oos2,XRP/USDT,LONG,2025-05-11T00:44:59.999000+00:00,2025-05-11T00:45:14.999000+00:00,2025-05-11T06:44:59.999000+00:00,6.0,2.4281,2.3819661,2.5276521,2.3819661,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.55, ""rsi"": 53.06, ""atr_ratio"": 1.073, ""pullback_depth"": 0.395, ""mom_slope"": 0.000954, ""reclaim_strength"": 1.177}"
OOS2_BULL25,oos2,BNB/USDT,LONG,2025-05-11T02:14:59.999000+00:00,2025-05-11T02:15:14.999000+00:00,2025-05-11T16:14:59.999000+00:00,14.0,662.02,649.44162,689.1628199999999,649.44162,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.04, ""rsi"": 54.56, ""atr_ratio"": 1.146, ""pullback_depth"": 0.256, ""mom_slope"": 0.00097, ""reclaim_strength"": 2.049}"
OOS2_BULL25,oos2,ADA/USDT,LONG,2025-05-11T03:29:59.999000+00:00,2025-05-11T03:30:14.999000+00:00,2025-05-11T06:44:59.999000+00:00,3.25,0.8192,0.8036352,0.8527872,0.8036352,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 17.08, ""rsi"": 53.19, ""atr_ratio"": 1.19, ""pullback_depth"": 0.574, ""mom_slope"": 0.000406, ""reclaim_strength"": 0.965}"
OOS2_BULL25,oos2,LINK/USDT,LONG,2025-05-11T06:29:59.999000+00:00,2025-05-11T06:30:14.999000+00:00,2025-05-11T07:00:00+00:00,0.5,16.894,16.573013999999997,17.586653999999996,16.573013999999997,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 16.27, ""rsi"": 53.23, ""atr_ratio"": 1.108, ""pullback_depth"": 0.143, ""mom_slope"": 0.011284, ""reclaim_strength"": 0.79}"
OOS2_BULL25,oos2,ETH/USDT,LONG,2025-05-11T09:29:59.999000+00:00,2025-05-11T09:30:14.999000+00:00,2025-05-11T13:59:59.999000+00:00,4.5,2515.22,2467.4308199999996,2618.3440199999995,2467.4308199999996,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 29.59, ""rsi"": 53.68, ""atr_ratio"": 1.138, ""pullback_depth"": 1.076, ""mom_slope"": 1.144684, ""reclaim_strength"": 0.353}"
OOS2_BULL25,oos2,ENA/USDT,LONG,2025-05-12T06:14:59.999000+00:00,2025-05-12T06:15:14.999000+00:00,2025-05-12T07:14:59.999000+00:00,1.0,0.4118,0.42868379999999995,0.42868379999999995,0.4039758,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 16.51, ""rsi"": 51.52, ""atr_ratio"": 0.953, ""pullback_depth"": 0.226, ""mom_slope"": 9.8e-05, ""reclaim_strength"": 0.387}"
OOS2_BULL25,oos2,NEAR/USDT,LONG,2025-05-12T06:14:59.999000+00:00,2025-05-12T06:15:14.999000+00:00,2025-05-12T07:29:59.999000+00:00,1.25,3.174,3.304134,3.304134,3.1136939999999997,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.17, ""rsi"": 51.41, ""atr_ratio"": 0.918, ""pullback_depth"": 0.058, ""mom_slope"": 7e-05, ""reclaim_strength"": 0.749}"
OOS5_AUG25_TRUMP_BULL_W1,oos5,ALGO/USDT,SHORT,2025-08-08T10:29:59.999000+00:00,2025-08-08T10:30:14.999000+00:00,2025-08-08T13:59:59.999000+00:00,3.5,0.2637,0.2673918,0.2555253,0.2673918,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,1.0,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.000118, ""rsi"": 45.2, ""atr_ratio"": 0.92, ""sq_count"": 8.5}"
OOS5_AUG25_TRUMP_BULL_W1,oos5,RENDER/USDT,LONG,2025-08-08T17:14:59.999000+00:00,2025-08-08T17:15:14.999000+00:00,2025-08-09T09:44:59.999000+00:00,16.5,3.848,4.005768,4.005768,3.774888,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.01, ""rsi"": 54.14, ""atr_ratio"": 1.154, ""pullback_depth"": 0.653, ""mom_slope"": 0.001062, ""reclaim_strength"": 0.963}"
OOS5_AUG25_TRUMP_BULL_W1,oos5,WIF/USDT,LONG,2025-08-08T17:14:59.999000+00:00,2025-08-08T17:15:14.999000+00:00,2025-08-09T05:29:59.999000+00:00,12.25,0.9598,0.9991517999999999,0.9991517999999999,0.9415638,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.14, ""rsi"": 53.56, ""atr_ratio"": 1.181, ""pullback_depth"": 1.41, ""mom_slope"": 7.4e-05, ""reclaim_strength"": 0.712}"
OOS5_AUG25_TRUMP_BULL_W1,oos5,INJ/USDT,LONG,2025-08-08T22:29:59.999000+00:00,2025-08-08T22:30:14.999000+00:00,2025-08-09T10:59:59.999000+00:00,12.5,14.176,14.757216,14.757216,13.906656,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.51, ""rsi"": 53.5, ""atr_ratio"": 0.971, ""pullback_depth"": 0.164, ""mom_slope"": 0.001156, ""reclaim_strength"": 0.687}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,SOL/USDT,LONG,2025-08-09T04:14:59.999000+00:00,2025-08-09T04:15:14.999000+00:00,2025-08-10T02:14:59.999000+00:00,22.0,177.46,184.73586,184.73586,174.08826,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.06, ""rsi"": 53.7, ""atr_ratio"": 0.988, ""pullback_depth"": 0.045, ""mom_slope"": 0.024046, ""reclaim_strength"": 0.718}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,INJ/USDT,LONG,2025-08-09T14:29:59.999000+00:00,2025-08-09T14:30:14.999000+00:00,2025-08-10T06:29:59.999000+00:00,16.0,14.579,14.301999,15.176739,14.301999,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 13.61, ""rsi"": 54.2, ""atr_ratio"": 0.941, ""pullback_depth"": 0.002, ""mom_slope"": 0.008668, ""reclaim_strength"": 2.027}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,AVAX/USDT,LONG,2025-08-09T17:14:59.999000+00:00,2025-08-09T17:15:14.999000+00:00,2025-08-10T06:44:59.999000+00:00,13.5,24.324,23.861844,25.321284,23.861844,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.34, ""rsi"": 53.63, ""atr_ratio"": 1.104, ""pullback_depth"": 0.392, ""mom_slope"": 0.009312, ""reclaim_strength"": 0.622}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,APT/USDT,LONG,2025-08-09T18:59:59.999000+00:00,2025-08-09T19:00:14.999000+00:00,2025-08-10T07:44:59.999000+00:00,12.75,4.8021,4.7108601000000005,4.9989861,4.7108601000000005,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 13.34, ""rsi"": 54.88, ""atr_ratio"": 1.019, ""pullback_depth"": 0.051, ""mom_slope"": 0.001727, ""reclaim_strength"": 0.881}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,ALGO/USDT,LONG,2025-08-09T22:29:59.999000+00:00,2025-08-09T22:30:14.999000+00:00,2025-08-10T02:44:59.999000+00:00,4.25,0.2741,0.2688921,0.2853381,0.2688921,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 12.78, ""rsi"": 53.36, ""atr_ratio"": 0.989, ""pullback_depth"": 0.437, ""mom_slope"": 6.8e-05, ""reclaim_strength"": 0.774}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,NEAR/USDT,LONG,2025-08-10T03:29:59.999000+00:00,2025-08-10T03:30:14.999000+00:00,2025-08-10T06:29:59.999000+00:00,3.0,2.82,2.7664199999999997,2.9356199999999997,2.7664199999999997,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.4, ""rsi"": 54.62, ""atr_ratio"": 1.092, ""pullback_depth"": 1.036, ""mom_slope"": 0.000474, ""reclaim_strength"": 0.831}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,LINK/USDT,LONG,2025-08-10T22:14:59.999000+00:00,2025-08-10T22:15:14.999000+00:00,2025-08-11T09:59:59.999000+00:00,11.75,22.094,21.674214,22.999854,21.674214,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 20.34, ""rsi"": 53.15, ""atr_ratio"": 1.181, ""pullback_depth"": 0.106, ""mom_slope"": 0.005385, ""reclaim_strength"": 0.829}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,LINK/USDT,LONG,2025-08-13T12:29:59.999000+00:00,2025-08-13T12:30:14.999000+00:00,2025-08-13T14:29:59.999000+00:00,2.0,23.896,23.441976,24.875736,23.441976,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 11.58, ""rsi"": 54.31, ""atr_ratio"": 1.13, ""pullback_depth"": 0.127, ""mom_slope"": 0.006533, ""reclaim_strength"": 1.035}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,ETH/USDT,LONG,2025-08-13T15:44:59.999000+00:00,2025-08-13T15:45:14.999000+00:00,2025-08-14T12:44:59.999000+00:00,21.0,4672.5,4583.7225,4864.072499999999,4583.7225,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.66, ""rsi"": 56.48, ""atr_ratio"": 1.192, ""pullback_depth"": 0.668, ""mom_slope"": 1.522956, ""reclaim_strength"": 1.271}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,ETH/USDT,LONG,2025-08-14T06:29:59.999000+00:00,2025-08-14T06:30:14.999000+00:00,2025-08-14T12:44:59.999000+00:00,6.25,4739.33,4649.28273,4933.642529999999,4649.28273,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.19, ""rsi"": 54.38, ""atr_ratio"": 1.03, ""pullback_depth"": 0.086, ""mom_slope"": 1.03535, ""reclaim_strength"": 0.789}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,NEAR/USDT,LONG,2025-08-14T07:59:59.999000+00:00,2025-08-14T08:00:14.999000+00:00,2025-08-14T09:00:00+00:00,1.0,3.034,2.9763539999999997,3.1583939999999995,2.9763539999999997,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.84, ""rsi"": 58.28, ""atr_ratio"": 1.188, ""pullback_depth"": 0.634, ""mom_slope"": 0.00168, ""reclaim_strength"": 3.192}"
OOS5_AUG25_TRUMP_BULL_W2,oos5,ADA/USDT,LONG,2025-08-15T17:44:59.999000+00:00,2025-08-15T17:45:14.999000+00:00,2025-08-15T18:59:59.999000+00:00,1.25,0.9497,0.9316557,0.9886377,0.9316557,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.9, ""rsi"": 52.48, ""atr_ratio"": 1.18, ""pullback_depth"": 1.532, ""mom_slope"": 0.000294, ""reclaim_strength"": 1.385}"
OOS2_BEAR25,oos2,SOL/USDT,LONG,2025-10-03T08:59:59.999000+00:00,2025-10-03T09:00:14.999000+00:00,2025-10-04T14:59:59.999000+00:00,30.0,231.04,226.65024,240.51263999999998,226.65024,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 11.19, ""rsi"": 53.74, ""atr_ratio"": 1.026, ""pullback_depth"": 1.205, ""mom_slope"": 0.055008, ""reclaim_strength"": 0.329}"
OOS2_BEAR25,oos2,NEAR/USDT,LONG,2025-10-04T05:14:59.999000+00:00,2025-10-04T05:15:14.999000+00:00,2025-10-04T09:59:59.999000+00:00,4.75,3.004,2.946924,3.1271639999999996,2.946924,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 13.04, ""rsi"": 52.88, ""atr_ratio"": 1.084, ""pullback_depth"": 0.2, ""mom_slope"": 0.001125, ""reclaim_strength"": 0.762}"
