removed,count,pnl,pf,dd,wr,trades,pref,delta_pnl,delta_pf,delta_dd,delta_pref
"SOL/USDT,TRX/USDT,ETH/USDT,LTC/USDT",16,195.1620943685885,1.5319596717047768,50.07407373158201,41.46341463414634,410,10.991920067937583,15.098940290569146,0.1500153163429121,-11.944580483104694,4.77154345145035
"XMR/USDT,TRX/USDT,ETH/USDT,LTC/USDT",16,201.70141886023532,1.55803781994251,52.71970181761646,42.32673267326732,404,10.905563565687231,21.63826478221597,0.17609346458064534,-9.298952397070245,4.6851869491999985
"XMR/USDT,TRX/USDT,ETH/USDT,BTC/USDT",16,195.38149914935568,1.5231620100260892,50.0311559590928,41.687344913151364,403,10.88747550418989,15.318345071336324,0.14121765466422453,-11.987498255593906,4.667098887702657
"SOL/USDT,TRX/USDT,LTC/USDT,SUI/USDT",16,190.00667880536002,1.5195250694135278,50.52935343894174,40.87591240875913,411,10.703476669998922,9.943524727340673,0.13758071405166317,-11.489300775744965,4.48310005351169
"SOL/USDT,ETH/USDT,LTC/USDT,SUI/USDT",16,177.982837954901,1.5135829381725618,48.056831704396416,40.75949367088608,395,10.618326233590679,-2.080316123118365,0.13163858281069718,-13.96182251029029,4.397949617103446
"SOL/USDT,TRX/USDT,LTC/USDT,BTC/USDT",16,196.82705633391635,1.5174149167993594,50.7956079781728,41.30434782608695,414,10.598984319038882,16.763902255896994,0.1354705614374947,-11.223046236513909,4.378607702551649
"SOL/USDT,ETH/USDT,LTC/USDT,BTC/USDT",16,184.42726198879197,1.51056133961479,48.09296268388623,41.20603015075377,398,10.55946334663435,4.364107910772617,0.12861698425292545,-13.925691530800478,4.339086730147118
"TRX/USDT,ETH/USDT,LTC/USDT,SUI/USDT",16,178.04282917895875,1.4923501449796568,49.68447693586014,40.89775561097257,401,10.503176201670579,-2.020324899060597,0.11040578961779213,-12.334177278826566,4.282799585183346
"SOL/USDT,XMR/USDT,LTC/USDT,BTC/USDT",16,204.23617541417445,1.5687570768915893,52.93782741149131,42.039800995024876,402,10.500268263786456,24.173021336155102,0.1868127215297246,-9.080826803195393,4.279891647299223
"XMR/USDT,ETH/USDT,LTC/USDT,SUI/USDT",16,184.71317484068467,1.5416101690935518,50.80935559712574,41.645244215938305,389,10.477599779666765,4.650020762665321,0.1596658137316871,-11.209298617560968,4.257223163179532
"SOL/USDT,TRX/USDT,SUI/USDT,BTC/USDT",16,182.61930639123892,1.4816036678753184,48.03655330493631,40.243902439024396,410,10.45231235868245,2.5561523132195703,0.09965931251345372,-13.982100909750393,4.231935742195217
"SOL/USDT,ETH/USDT,SUI/USDT,BTC/USDT",16,170.77871009708804,1.4735469734313646,45.20123948551604,40.10152284263959,394,10.43218225683421,-9.284443980931314,0.09160261806949999,-16.817414729170665,4.211805640346977
"XMR/USDT,ETH/USDT,LTC/USDT,BTC/USDT",16,190.9665864804388,1.5367272105521623,51.24888459898472,42.09183673469388,392,10.379279937961543,10.90343240241944,0.15478285519029766,-10.769769615701982,4.158903321474311
"XMR/USDT,ETH/USDT,SUI/USDT,BTC/USDT",16,178.69572436313393,1.504870270635078,48.532976725202595,40.97938144329897,388,10.337345318866994,-1.367429714885418,0.1229259152732134,-13.485677489484111,4.116968702379761
"XMR/USDT,TRX/USDT,LTC/USDT,BTC/USDT",16,203.36638082556317,1.5423415780215044,53.78721041071191,42.15686274509804,408,10.335199832124474,23.303226747543818,0.16039722265963974,-8.231443803974798,4.114823215637241
"XMR/USDT,TRX/USDT,LTC/USDT,SUI/USDT",16,196.73701569114374,1.5461508267361033,53.15085576766288,41.7283950617284,405,10.287884680449457,16.673861613124387,0.1642064713742386,-8.867798447023823,4.067508063962224
"SOL/USDT,XMR/USDT,SUI/USDT,BTC/USDT",16,190.62176416162814,1.5317637356077767,50.29889413993723,40.95477386934673,398,10.220818263925647,10.558610083608784,0.14981938024591201,-11.719760074749473,4.000441647438414
"SOL/USDT,XMR/USDT,LTC/USDT,SUI/USDT",16,196.22912050535592,1.567783406123516,53.05005346783177,41.60401002506266,399,10.206805678509834,16.16596642733657,0.18583905076165141,-8.968600746854932,3.9864290620226015
"XMR/USDT,TRX/USDT,SUI/USDT,BTC/USDT",16,190.53632065728482,1.511511637397496,51.19590488207003,41.089108910891085,404,10.08932456841085,10.473166579265467,0.12956728203563128,-10.822749332616674,3.8689479519236176
"TRX/USDT,ETH/USDT,LTC/USDT,BTC/USDT",16,183.10956343845066,1.4849830309963408,50.37919690797109,41.336633663366335,404,10.053153334823067,3.046409360431312,0.1030386756344761,-11.639457306715613,3.8327767183358343
"SOL/USDT,XMR/USDT,ETH/USDT",17,200.08524076880497,1.5317060250867494,52.09325884894371,41.23222748815166,422,10.04382975084185,20.022086690785613,0.1497616697248847,-9.925395365742993,3.823453134354617
"TRX/USDT,ETH/USDT,SUI/USDT,BTC/USDT",16,170.2453626310147,1.453853309691905,47.61483903200291,40.25,400,10.03551025475748,-9.817791447004652,0.07190895433004041,-14.403815182683793,3.8151336382702468
"SOL/USDT,XMR/USDT,TRX/USDT",17,211.54988356829054,1.5357582306663067,54.357926567683435,41.32420091324201,438,9.943430847655218,31.486729490271188,0.15381387530444202,-7.66072764700327,3.7230542311679855
"SOL/USDT,TRX/USDT,ETH/USDT",17,191.22380434240856,1.48059919468958,50.99774014806552,40.55299539170507,434,9.72574225488057,11.160650264389204,0.09865483932771535,-11.020914066621188,3.5053656383933376
"XMR/USDT,TRX/USDT,ETH/USDT",17,198.17420352833255,1.505483398426207,53.59442216546946,41.35514018691589,428,9.653760906093881,18.111049450313203,0.12353904306434238,-8.424232049217245,3.433384289606648
"SOL/USDT,LTC/USDT,SUI/USDT,BTC/USDT",16,177.7223491214344,1.4909354295267327,50.66206685641133,40.6015037593985,399,9.580658836409297,-2.3408049565849467,0.10899107416486808,-11.356587358275377,3.3602822199220643
"SOL/USDT,TRX/USDT,BTC/USDT",17,193.51624563702512,1.4710836231400826,51.689288475624316,40.41095890410959,438,9.523223083469798,13.45309155900577,0.0891392677782179,-10.32936573906239,3.3028464669825652
"TRX/USDT,LTC/USDT,SUI/USDT,BTC/USDT",16,178.2302443072222,1.473227866574829,51.55252301948012,40.74074074074074,405,9.517765448671794,-1.8329097707971584,0.09128351121296441,-10.466131195206586,3.297388832184561
"ETH/USDT,LTC/USDT,SUI/USDT,BTC/USDT",16,165.83044996209782,1.4639308227384773,48.89145273080798,40.616966580976865,389,9.502147104143573,-14.232704115921536,0.08198646737661264,-13.127201483878729,3.28177048765634
"SOL/USDT,TRX/USDT,LTC/USDT",17,199.837145908359,1.5016023788099309,54.69143938409018,41.00227790432802,439,9.498191285267785,19.77399183033964,0.1196580234480662,-7.327214830596525,3.277814668780552
"SOL/USDT,TRX/USDT,SUI/USDT",17,186.51360411261487,1.4706389985289854,51.42786981545397,40.0,435,9.49424744987163,6.450450034595519,0.08869464316712072,-10.590784399232739,3.2738708333843967
"SOL/USDT,XMR/USDT,BTC/USDT",17,201.9297781016915,1.5182214129752847,53.79259959913244,41.07981220657277,426,9.457952476499928,21.86662402367216,0.13627705761342002,-8.226054615554268,3.2375758600126954
"SOL/USDT,ETH/USDT,BTC/USDT",17,181.67564934287424,1.463178400163147,49.05328111424006,40.28436018957346,422,9.408863952467655,1.6124952648548856,0.08123404480128227,-12.965373100446648,3.1884873359804224
"SOL/USDT,ETH/USDT,SUI/USDT",17,175.04896131312933,1.4634039363063263,49.017818584488616,39.856801909307876,419,9.376280871284193,-5.014192764890026,0.0814595809444616,-13.00083563019809,3.15590425479696
"XMR/USDT,ETH/USDT,SUI/USDT",17,182.9659755791752,1.4930999946512593,51.71941875741326,40.67796610169492,413,9.371430117797036,2.9028215011558416,0.11115563928939465,-10.299235457273447,3.1510535013098036
"XMR/USDT,ETH/USDT,BTC/USDT",17,188.6260485287982,1.4881632471957675,52.15081614893605,41.105769230769226,416,9.329701758634938,8.562894450778856,0.10621889183390287,-9.867838065750654,3.1093251421477053
"SOL/USDT,XMR/USDT,LTC/USDT",17,207.2462649886171,1.5496010021569795,57.00006678220857,41.68618266978923,427,9.32799634363056,27.183110910597748,0.16765664679511483,-5.018587432478135,3.1076197271433266
"SOL/USDT,ETH/USDT,LTC/USDT",17,187.81330505789995,1.4952656066199013,52.42693692310991,40.8983451536643,423,9.315140925175202,7.750150979880601,0.1133212512580366,-9.591717291576792,3.094764308687969
"XMR/USDT,ETH/USDT,LTC/USDT",17,194.35262954954675,1.51994990854038,54.94788427896348,41.726618705035975,417,9.30651397163805,14.289475471527396,0.13800555317851537,-7.070769935723227,3.086137355150818
"XMR/USDT,TRX/USDT,LTC/USDT",17,206.37647040000581,1.5251693866773233,57.092388339123836,41.801385681293304,433,9.30647986451342,26.313316321986463,0.1432250313154586,-4.926265875562869,3.0861032480261876
"XMR/USDT,LTC/USDT,SUI/USDT,BTC/USDT",16,184.4526860072181,1.517397693645471,53.661788522382395,41.475826972010175,393,9.288938297468476,4.389531929198739,0.13545333828360628,-8.35686569230431,3.0685616809812437
"XMR/USDT,TRX/USDT,SUI/USDT",17,194.43061837866077,1.4990452522576339,54.001758802988796,40.79254079254079,429,9.262371769515909,14.367464300641416,0.11710089689576919,-8.01689541169791,3.041995153028676
"XMR/USDT,TRX/USDT,BTC/USDT",17,200.4666448229491,1.4950377535611523,54.62655558076207,41.2037037037037,432,9.260868732816741,20.40349074492974,0.11309339819928765,-7.392098633924633,3.040492116329508
"SOL/USDT,XMR/USDT,SUI/USDT",17,194.51606188300408,1.517909264963025,53.90278733666156,40.66193853427896,423,9.241809092030019,14.452907804984733,0.13596490960116037,-8.115866878025145,3.0214324755427864
"TRX/USDT,ETH/USDT,SUI/USDT",17,174.515613847056,1.4449436088028436,50.61535118008115,40.0,425,9.204472133044167,-5.547540230963364,0.0629992534409789,-11.403303034605557,2.984095516556934
"TRX/USDT,ETH/USDT,LTC/USDT",17,186.49560650755865,1.4714824374063102,53.91764439829825,41.02564102564102,429,9.097812503184612,6.432452429539296,0.08953808204444558,-8.101009816388455,2.877435886697379
"TRX/USDT,ETH/USDT,BTC/USDT",17,179.76461210240183,1.4406235735992783,51.29721832090664,40.42056074766355,428,8.91383219240842,-0.2985419756175247,0.05867921823741362,-10.721435893780068,2.6934555759211865
"TRX/USDT,LTC/USDT,SUI/USDT",17,182.71788071872925,1.464763082182336,54.337874185523305,40.46511627906977,430,8.84985303028994,2.654726640709896,0.08281872682047142,-7.680780029163401,2.629476413802708
"SOL/USDT,LTC/USDT,BTC/USDT",17,189.03036306149775,1.4807534393120012,54.13024333631681,40.749414519906324,427,8.849296350813798,8.9672089834784,0.09880908395013654,-7.888410878369896,2.6289197343265656
"SOL/USDT,LTC/USDT,SUI/USDT",17,182.20998553294146,1.4813711258313602,54.239625917114154,40.33018867924528,424,8.758094693639578,2.1468314549221077,0.09942677046949555,-7.779028297572552,2.537718077152345
"ETH/USDT,LTC/USDT,SUI/USDT",17,170.69403986827018,1.4564477984931115,52.055700687295605,40.33816425120773,414,8.747717391284805,-9.36911420974917,0.0745034431312468,-9.9629535273911,2.5273407747975725
"XMR/USDT,LTC/USDT,BTC/USDT",17,195.56968755314458,1.5043448189793922,56.919101606411374,41.56769596199525,421,8.689261461928492,15.506533475125224,0.12240046361752754,-5.0995526082753315,2.4688848454412593
"TRX/USDT,LTC/USDT,BTC/USDT",17,188.16056847288647,1.4599576538736065,54.958105488563234,40.877598152424945,433,8.640353164822828,8.097414394867116,0.07801329851174188,-7.060548726123471,2.4199765483355957
